timeline,survival_prob
579.0,0.37180738646134015
580.0,0.35535573219313926
581.0,0.34664603287468004
582.0,0.34122968861101327
583.0,0.337580173224799
584.0,0.33204607202439235
585.0,0.33204607202439235
586.0,0.33204607202439235
587.0,0.3281850711868996
588.0,0.3222895309859373
589.0,0.32026255280363586
590.0,0.3181274691182784
591.0,0.3181274691182784
592.0,0.31593348657263515
593.0,0.3137086028643772
594.0,0.3137086028643772
595.0,0.31145170644089265
597.0,0.31145170644089265
598.0,0.3091616203641213
599.0,0.3091616203641213
600.0,0.3091616203641213
601.0,0.3091616203641213
614.0,0.3067650186558723
688.0,0.29478201011462724
689.0,0.287223497034765
690.0,0.2716979026004534
691.0,0.24309812337935308
692.0,0.20924901759235462
693.0,0.16067335279412936
