timeline,survival_prob,segment
26.0,1.0,Low Review Score
27.0,1.0,Low Review Score
28.0,1.0,Low Review Score
29.0,1.0,Low Review Score
30.0,1.0,Low Review Score
32.0,1.0,Low Review Score
33.0,1.0,Low Review Score
34.0,1.0,Low Review Score
35.0,1.0,Low Review Score
36.0,1.0,Low Review Score
37.0,1.0,Low Review Score
38.0,1.0,Low Review Score
40.0,1.0,Low Review Score
41.0,1.0,Low Review Score
42.0,1.0,Low Review Score
43.0,1.0,Low Review Score
44.0,1.0,Low Review Score
46.0,1.0,Low Review Score
47.0,1.0,Low Review Score
48.0,1.0,Low Review Score
49.0,1.0,Low Review Score
51.0,1.0,Low Review Score
53.0,1.0,Low Review Score
54.0,1.0,Low Review Score
55.0,1.0,Low Review Score
56.0,1.0,Low Review Score
57.0,1.0,Low Review Score
58.0,1.0,Low Review Score
59.0,1.0,Low Review Score
60.0,1.0,Low Review Score
61.0,1.0,Low Review Score
62.0,1.0,Low Review Score
63.0,1.0,Low Review Score
64.0,1.0,Low Review Score
65.0,1.0,Low Review Score
66.0,1.0,Low Review Score
67.0,1.0,Low Review Score
68.0,1.0,Low Review Score
69.0,1.0,Low Review Score
70.0,1.0,Low Review Score
71.0,1.0,Low Review Score
72.0,1.0,Low Review Score
73.0,1.0,Low Review Score
74.0,1.0,Low Review Score
75.0,1.0,Low Review Score
76.0,1.0,Low Review Score
77.0,1.0,Low Review Score
78.0,1.0,Low Review Score
79.0,1.0,Low Review Score
80.0,1.0,Low Review Score
81.0,1.0,Low Review Score
82.0,1.0,Low Review Score
83.0,1.0,Low Review Score
84.0,1.0,Low Review Score
85.0,1.0,Low Review Score
86.0,1.0,Low Review Score
87.0,1.0,Low Review Score
88.0,1.0,Low Review Score
89.0,1.0,Low Review Score
90.0,1.0,Low Review Score
92.0,1.0,Low Review Score
93.0,1.0,Low Review Score
96.0,1.0,Low Review Score
97.0,1.0,Low Review Score
98.0,1.0,Low Review Score
99.0,1.0,Low Review Score
100.0,1.0,Low Review Score
101.0,1.0,Low Review Score
102.0,1.0,Low Review Score
104.0,1.0,Low Review Score
105.0,1.0,Low Review Score
106.0,1.0,Low Review Score
107.0,1.0,Low Review Score
108.0,1.0,Low Review Score
109.0,1.0,Low Review Score
110.0,1.0,Low Review Score
111.0,1.0,Low Review Score
112.0,1.0,Low Review Score
113.0,1.0,Low Review Score
114.0,1.0,Low Review Score
115.0,1.0,Low Review Score
116.0,1.0,Low Review Score
117.0,1.0,Low Review Score
118.0,1.0,Low Review Score
119.0,1.0,Low Review Score
120.0,1.0,Low Review Score
121.0,1.0,Low Review Score
122.0,1.0,Low Review Score
123.0,1.0,Low Review Score
124.0,1.0,Low Review Score
125.0,1.0,Low Review Score
126.0,1.0,Low Review Score
127.0,1.0,Low Review Score
128.0,1.0,Low Review Score
130.0,1.0,Low Review Score
131.0,1.0,Low Review Score
132.0,1.0,Low Review Score
133.0,1.0,Low Review Score
134.0,1.0,Low Review Score
135.0,1.0,Low Review Score
136.0,1.0,Low Review Score
137.0,1.0,Low Review Score
138.0,1.0,Low Review Score
139.0,1.0,Low Review Score
140.0,1.0,Low Review Score
141.0,1.0,Low Review Score
142.0,1.0,Low Review Score
143.0,1.0,Low Review Score
144.0,1.0,Low Review Score
145.0,1.0,Low Review Score
146.0,1.0,Low Review Score
147.0,1.0,Low Review Score
148.0,1.0,Low Review Score
149.0,1.0,Low Review Score
150.0,1.0,Low Review Score
151.0,1.0,Low Review Score
152.0,1.0,Low Review Score
154.0,1.0,Low Review Score
155.0,1.0,Low Review Score
157.0,1.0,Low Review Score
158.0,1.0,Low Review Score
159.0,1.0,Low Review Score
160.0,1.0,Low Review Score
161.0,1.0,Low Review Score
162.0,1.0,Low Review Score
163.0,1.0,Low Review Score
164.0,1.0,Low Review Score
165.0,1.0,Low Review Score
166.0,1.0,Low Review Score
167.0,1.0,Low Review Score
168.0,1.0,Low Review Score
169.0,1.0,Low Review Score
171.0,1.0,Low Review Score
172.0,1.0,Low Review Score
174.0,1.0,Low Review Score
175.0,1.0,Low Review Score
176.0,1.0,Low Review Score
177.0,1.0,Low Review Score
180.0,1.0,Low Review Score
181.0,1.0,Low Review Score
182.0,1.0,Low Review Score
183.0,1.0,Low Review Score
184.0,0.9990817263544534,Low Review Score
185.0,0.9990817263544534,Low Review Score
186.0,0.9990817263544534,Low Review Score
187.0,0.9981575064410826,Low Review Score
188.0,0.9981575064410826,Low Review Score
189.0,0.9972315718339948,Low Review Score
190.0,0.9963021854669547,Low Review Score
191.0,0.9963021854669547,Low Review Score
192.0,0.9963021854669547,Low Review Score
193.0,0.9963021854669547,Low Review Score
194.0,0.9944311954472987,Low Review Score
195.0,0.9934957004374708,Low Review Score
196.0,0.9925584403427186,Low Review Score
199.0,0.9925584403427186,Low Review Score
200.0,0.9916176266551899,Low Review Score
201.0,0.9916176266551899,Low Review Score
203.0,0.9906741274861551,Low Review Score
204.0,0.9906741274861551,Low Review Score
205.0,0.9906741274861551,Low Review Score
